incident_id,incident_datetime,latitude,longitude
838521933,03/19/2018 03:45:06 PM,37.316243520627935,-121.93065662193621
838641172,03/20/2018 09:07:40 PM,37.312172042126406,-121.99688007717957
838820409,03/22/2018 03:11:33 PM,37.32294746071589,-122.05037219269812
838836598,03/22/2018 08:06:06 PM,37.32663256105288,-122.04381024779528
839109137,03/23/2018 11:19:29 AM,37.354553545212994,-122.12222020402666
839137244,03/23/2018 06:33:44 PM,37.33925590858126,-122.0996299592322
839137228,03/23/2018 07:15:47 PM,37.28734435872921,-122.00896520589428
839173288,03/24/2018 10:07:29 AM,37.32316842049322,-121.76212541958604
839202602,03/24/2018 06:49:48 PM,37.31836391287978,-122.02644347733091
839216769,03/24/2018 09:28:15 PM,37.368892660075375,-121.82694229101831
839244270,03/25/2018 10:41:58 AM,37.27607395330495,-121.99309839522851
